year,state_county,inctot,mortamt1,sex,age,ftotinc,foodstmp_1,foodstmp_2,foodstmp_All,foodstmp_1_freq,foodstmp_2_freq,sex_1,sex_2,sex_All,sex_2_freq,sex_1_freq,marst_1,marst_2,marst_3,marst_4,marst_5,marst_6,marst_All,marst_5_freq,marst_6_freq,marst_1_freq,marst_4_freq,marst_3_freq,marst_2_freq,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_All,race_1_freq,race_2_freq,race_7_freq,race_8_freq,race_5_freq,race_6_freq,race_3_freq,race_4_freq,race_9_freq,ctz_stat_1,ctz_stat_2,ctz_stat_3,ctz_stat_All,ctz_stat_1_freq,ctz_stat_3_freq,ctz_stat_2_freq,lang_1,lang_2,lang_All,lang_1_freq,lang_2_freq,educ_attain_1.0,educ_attain_2.0,educ_attain_3.0,educ_attain_4.0,educ_attain_All,educ_attain_2.0_freq,educ_attain_1.0_freq,educ_attain_3.0_freq,educ_attain_4.0_freq,empstat_1.0,empstat_2.0,empstat_3.0,empstat_All,empstat_1.0_freq,empstat_3.0_freq,empstat_2.0_freq,state_po,county_name,democrat,green,liberitarian,other,republican,winner
2008,1000,22523.9,591.8,22199,47,44879.5,20121,2078,22199,90.6,9.4,10342,11857,22199,53.4,46.6,12513,392,570,2743,2116,3865,22199,9.5,17.4,56.4,12.4,2.6,1.8,17092,4431,144,27,16,112,138,226,13,22199,77,20,0.6,1,0.1,0.5,0.6,0.1,0.1,21544,226,429,22199,97,1.9,1,21410,789,22199,96.4,3.6,11831,8963,1300,105,22199,40.4,53.3,5.9,0.5,12182,789,9228,22199,54.9,41.6,3.6,,,,,,,,
2008,1003,27222.4,902.2,1120,48.6,53308.6,1055,65,1120,94.2,5.8,532,588,1120,52.5,47.5,710,18,15,148,93,136,1120,8.3,12.1,63.4,13.2,1.3,1.6,1020,73,6,1,0,7,5,6,2,1120,91.1,6.5,0.4,0.5,0,0.6,0.5,0.1,0.2,1087,18,15,1120,97.1,1.3,1.6,1087,33,1120,97.1,2.9,440,580,94,6,1120,51.8,39.3,8.4,0.5,606,27,487,1120,54.1,43.5,2.4,AL,BALDWIN,19386,0,0,756,61271,1
2012,1003,24059.7,753.5,1075,49.5,46878.3,979,96,1075,91.1,8.9,521,554,1075,51.5,48.5,648,22,19,119,82,185,1075,7.6,17.2,60.3,11.1,1.8,2,969,82,5,0,0,5,5,9,0,1075,90.1,7.6,0.5,0.8,0,0.5,0.5,0,0,1043,10,22,1075,97,2,0.9,1031,44,1075,95.9,4.1,421,548,91,15,1075,51,39.2,8.5,1.4,552,57,466,1075,51.3,43.3,5.3,AL,BALDWIN,18424,0,0,898,66016,1
2016,1003,29012.5,753.4,1129,50.2,58238,1040,89,1129,92.1,7.9,528,601,1129,53.2,46.8,662,26,10,151,96,184,1129,8.5,16.3,58.6,13.4,0.9,2.3,1018,75,8,3,2,1,6,16,0,1129,90.2,6.6,0.5,1.4,0.2,0.1,0.7,0.3,0,1104,15,10,1129,97.8,0.9,1.3,1106,23,1129,98,2,412,569,139,9,1129,50.4,36.5,12.3,0.8,580,16,533,1129,51.4,47.2,1.4,AL,BALDWIN,18458,0,0,3874,72883,1
2020,1003,30231.5,768.1,932,51.8,65765.1,873,59,932,93.7,6.3,451,481,932,51.6,48.4,570,26,13,86,89,148,932,9.5,15.9,61.2,9.2,1.4,2.8,810,64,1,1,1,4,12,38,1,932,86.9,6.9,1.3,4.1,0.1,0.4,0.1,0.1,0.1,904,19,9,932,97,1,2,904,28,932,97,3,353,465,99,15,932,49.9,37.9,10.6,1.6,443,13,476,932,47.5,51.1,1.4,AL,BALDWIN,24578,0,0,1557,83544,1
2008,1015,20951.6,551.7,887,47.1,39712.5,790,97,887,89.1,10.9,401,486,887,54.8,45.2,483,25,27,102,77,173,887,8.7,19.5,54.5,11.5,3,2.8,714,152,3,2,1,6,1,8,0,887,80.5,17.1,0.1,0.9,0.1,0.7,0.3,0.2,0,863,11,13,887,97.3,1.5,1.2,846,41,887,95.4,4.6,467,365,44,11,887,41.1,52.6,5,1.2,482,40,365,887,54.3,41.1,4.5,AL,CALHOUN,16334,0,0,560,32348,1
2012,1015,18614.4,515.3,852,47.2,39665.4,682,170,852,80,20,404,448,852,52.6,47.4,448,8,20,116,72,188,852,8.5,22.1,52.6,13.6,2.3,0.9,649,179,5,0,1,6,0,12,0,852,76.2,21,0,1.4,0.1,0.7,0.6,0,0,837,7,8,852,98.2,0.9,0.8,830,22,852,97.4,2.6,441,363,44,4,852,42.6,51.8,5.2,0.5,394,64,394,852,46.2,46.2,7.5,AL,CALHOUN,15511,0,0,468,30278,1
2016,1015,19852.5,495.9,845,47.9,43191.2,727,118,845,86,14,397,448,845,53,47,422,10,30,86,80,217,845,9.5,25.7,49.9,10.2,3.6,1.2,651,164,5,3,0,5,2,15,0,845,77,19.4,0.2,1.8,0,0.6,0.6,0.4,0,822,7,16,845,97.3,1.9,0.8,824,21,845,97.5,2.5,436,351,51,7,845,41.5,51.6,6,0.8,413,40,392,845,48.9,46.4,4.7,AL,CALHOUN,13242,0,0,1757,32865,1
2020,1015,19634.8,484.2,659,45.3,43477.4,555,104,659,84.2,15.8,290,369,659,56,44,296,18,22,82,58,183,659,8.8,27.8,44.9,12.4,3.3,2.7,480,112,2,1,0,11,7,43,3,659,72.8,17,1.1,6.5,0,1.7,0.3,0.2,0.5,641,12,6,659,97.3,0.9,1.8,636,23,659,96.5,3.5,327,275,52,5,659,41.7,49.6,7.9,0.8,309,36,314,659,46.9,47.6,5.5,AL,CALHOUN,15216,0,0,666,35101,1
2008,2000,28443.2,864.7,3186,42.8,60503.4,2750,436,3186,86.3,13.7,1688,1498,3186,47,53,1651,111,57,366,142,859,3186,4.5,27,51.8,11.5,1.8,3.5,2004,26,885,1,9,83,26,151,1,3186,62.9,0.8,0.8,4.7,0.3,2.6,27.8,0,0,3030,79,77,3186,95.1,2.4,2.5,2535,651,3186,79.6,20.4,1433,1531,197,25,3186,48.1,45,6.2,0.8,2031,204,951,3186,63.7,29.8,6.4,,,,,,,,
